graph size,average degree,cluster size,max modularity,max performance,scale,predicted cluster size,modularity,performance,improved modularity,improved performance,naive modularity,naive performance,ddcrp time
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,1000,10,0.024805556776932608,0.16764870259481038,0.28781479248106345,0.8420439121756487,0.32575276955965515,0.8858043912175648,17.03111243247986
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,2000,46,0.190735384130055,0.8791776447105788,0.26139379010042507,0.9540279441117765,0.22921146503127773,0.9650219560878244,4.243147134780884
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,3000,55,0.1788752897280796,0.910315369261477,0.24209332855949398,0.9661716566866267,0.21628318917594744,0.9673453093812375,3.3830180168151855
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,4000,62,0.16524402415116038,0.9532934131736527,0.21712227519508887,0.9686546906187625,0.2161740504142562,0.9704351297405189,2.043243169784546
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,5000,66,0.16324349581835398,0.9549780439121757,0.2163216625523709,0.9695568862275449,0.21151301394672975,0.9710339321357285,1.9997522830963135
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,6000,69,0.16292541434343302,0.9548343313373253,0.20318156502367032,0.9709301397205589,0.19664833205263227,0.9733413173652694,2.005222797393799
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,7000,70,0.16226953487868928,0.9550419161676647,0.2031554798999727,0.9708902195608783,0.20300716983212697,0.9730938123752495,1.997429609298706
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,8000,72,0.1621487057940032,0.9554171656686626,0.2028313787811216,0.9712974051896207,0.20605642482703548,0.9742674650698603,1.996321678161621
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,9000,72,0.16210124657229258,0.9553692614770459,0.20303308047339177,0.9714251497005988,0.21209552354849803,0.9734610778443114,1.9941036701202393
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,10000,72,0.16210124657229258,0.9553692614770459,0.20303308047339177,0.9714251497005988,0.20427295264058223,0.974315369261477,1.9944958686828613
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,11000,77,0.157974824278742,0.9569740518962075,0.20247377703518055,0.9718962075848303,0.2011368053941592,0.9741237524950099,1.956350564956665
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,12000,79,0.15685761326178158,0.9572135728542914,0.20134827810266404,0.9725908183632734,0.19546612632946894,0.9752654690618763,2.0131325721740723
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,13000,81,0.15659056789844283,0.9582435129740519,0.1966689209796979,0.9730459081836327,0.18995623282656648,0.9758642714570859,1.9962553977966309
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,14000,81,0.15659056789844283,0.9582435129740519,0.1966689209796979,0.9730459081836327,0.19306498633104624,0.9756646706586827,1.9875962734222412
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,15000,81,0.15659056789844283,0.9582435129740519,0.1966689209796979,0.9730459081836327,0.1906738790725072,0.9763832335329341,1.989323377609253
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,16000,81,0.15659056789844283,0.9582435129740519,0.1966689209796979,0.9730459081836327,0.19624091557213838,0.974562874251497,1.9830975532531738
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,17000,82,0.1559823221378425,0.9588982035928144,0.19575794819825948,0.9735329341317365,0.1948753288121446,0.9767664670658682,1.9665746688842773
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,18000,82,0.1559823221378425,0.9588982035928144,0.19575794819825948,0.9735329341317365,0.18754043630379197,0.9747624750499002,1.9712138175964355
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,19000,82,0.1559823221378425,0.9588982035928144,0.19575794819825948,0.9735329341317365,0.19432274294759444,0.9757924151696606,1.9714610576629639
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,20000,82,0.1559823221378425,0.9588982035928144,0.19575794819825948,0.9735329341317365,0.1993952962327846,0.9754011976047904,1.9037814140319824
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,21000,82,0.1559823221378425,0.9588982035928144,0.19575794819825942,0.9735329341317365,0.1876934573973223,0.97624750499002,1.732125997543335
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,22000,83,0.15368578435785926,0.9640558882235529,0.1893679653045172,0.9747704590818363,0.19480326756741473,0.9759441117764471,1.696622371673584
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,23000,84,0.15287845414148013,0.9640718562874252,0.18918502047376864,0.9748103792415169,0.19249469049957108,0.975688622754491,1.700136423110962
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,24000,84,0.15287845414148013,0.9640718562874252,0.18918502047376864,0.9748103792415169,0.18876783297704017,0.9764471057884232,1.7006480693817139
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,25000,84,0.15287845414148013,0.9640718562874252,0.18918502047376864,0.9748103792415169,0.19487183916348927,0.9752574850299401,1.7028357982635498
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,26000,85,0.15259736294230422,0.9641996007984032,0.18887356933129254,0.9749141716566866,0.18698174355409541,0.9760079840319361,1.699690818786621
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,27000,85,0.15259736294230422,0.9641996007984032,0.18887356933129254,0.9749141716566866,0.19356156333468036,0.9742914171656687,1.7013816833496094
501,9.55688622754491,50,0.23244811415897015,0.9453333333333334,28000,85,0.15259736294230422,0.9641996007984032,0.18887356933129254,0.9749141716566866,0.1863203678927198,0.9773013972055888,1.6982367038726807
